# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = posterior_model_3.data.R
# init = 2 (Default)
# random
#   seed = 3284628023
# output
#   file = posterior_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.66802
# Diagonal elements of inverse mass matrix:
# 0.0775894, 0.0419018, 0.117084, 0.16983, 1.47057, 0.281274
-172.326,1,0.66802,2,3,0,175.74,0.129277,0.421495,0.187373,0.107232,0.0177063,0.0745908,0.0623264
-174.292,0.739231,0.66802,3,7,0,175.103,0.133208,0.434885,0.141704,0.110156,0.000948108,0.143517,0.035582
-173.22,0.899965,0.66802,3,7,0,176.922,0.129503,0.40677,0.175253,0.102375,0.0185697,0.0744225,0.0931073
-173.536,0.987831,0.66802,3,7,0,174.734,0.132375,0.467446,0.137174,0.131344,0.00349088,0.0973359,0.0308346
-172.49,0.972465,0.66802,3,7,0,175.369,0.137813,0.4093,0.191375,0.0739019,0.0103059,0.100952,0.0763524
-172.727,0.974114,0.66802,3,7,0,173.861,0.131166,0.482029,0.133083,0.0840645,0.0172723,0.106381,0.0460049
-172.32,0.954451,0.66802,3,7,0,174.208,0.133894,0.387302,0.201783,0.113296,0.00394075,0.107141,0.052644
-173.071,0.849456,0.66802,2,7,0,175.217,0.162826,0.368509,0.158341,0.0994261,0.00678454,0.1437,0.060413
-174.483,0.931746,0.66802,3,7,0,175.546,0.129772,0.405519,0.153951,0.0826978,0.0402261,0.143725,0.0441088
-173.328,0.992239,0.66802,2,7,0,175.933,0.0928882,0.431774,0.200148,0.12499,0.00267352,0.102887,0.044639
-173.705,0.807378,0.66802,2,3,0,177.565,0.172695,0.45742,0.163503,0.0672572,0.0127452,0.0923637,0.034015
-174.851,0.546865,0.66802,2,7,0,178.582,0.136241,0.443831,0.1749,0.0763556,0.000221621,0.0974145,0.0710359
-172.723,1,0.66802,2,7,0,174.914,0.122285,0.429213,0.164992,0.103199,0.00126126,0.120539,0.0585099
-172.937,0.855993,0.66802,3,7,0,175.456,0.131752,0.41904,0.177237,0.108525,0.0304096,0.0772502,0.0557866
-173.521,0.607707,0.66802,3,7,0,175.62,0.102093,0.469976,0.179812,0.0973201,0.00123388,0.109461,0.0401037
-173.291,0.852282,0.66802,3,7,0,177.984,0.156664,0.373569,0.139184,0.116081,0.0131046,0.113406,0.0879905
-173.072,0.968362,0.66802,2,3,0,174.482,0.140214,0.369899,0.187589,0.0998847,0.0210428,0.0971056,0.0842646
-172.751,0.876463,0.66802,2,7,0,175.701,0.109339,0.3877,0.199143,0.102217,0.00507594,0.118764,0.0777599
-173.829,0.919447,0.66802,2,7,0,174.784,0.1048,0.433489,0.184302,0.0604645,0.0137175,0.121919,0.0813091
-173.27,0.974514,0.66802,3,7,0,176.229,0.104916,0.501363,0.144237,0.109969,0.00255586,0.090325,0.0466348
-174.127,0.966116,0.66802,3,7,0,175.224,0.127041,0.514024,0.135947,0.106879,0.00279635,0.0808791,0.0324323
-173.172,0.968858,0.66802,2,3,0,175.33,0.118449,0.453798,0.167376,0.139479,0.00347757,0.0773662,0.0400541
-173.53,0.975907,0.66802,3,7,0,175.183,0.160184,0.454663,0.168491,0.0832169,0.00187583,0.0984934,0.0330757
-174.904,0.855756,0.66802,2,3,0,176.539,0.119057,0.507517,0.194949,0.0627946,0.00276244,0.0699831,0.0429368
