# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2961180736
# output
#   file = bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.919933
# Diagonal elements of inverse mass matrix:
# 0.446808
-8.11621,0.886569,0.919933,2,3,0,8.438,0.472572
-8.56748,0.726754,0.919933,1,3,0,10.1716,0.170794
-7.78745,0.988569,0.919933,1,3,0,8.44784,0.262155
-8.10859,0.889196,0.919933,1,3,0,8.59594,0.471432
-7.7557,1,0.919933,1,1,0,8.01182,0.40117
-7.86414,0.970634,0.919933,1,1,0,7.87842,0.428146
-7.64259,0.988878,0.919933,2,3,0,7.93545,0.346208
-7.63988,0.999391,0.919933,1,3,0,7.64738,0.3254
-7.6573,0.994656,0.919933,1,3,0,7.66893,0.360286
-7.69377,0.925086,0.919933,2,3,0,8.11525,0.289079
-8.32639,0.929188,0.919933,2,3,0,8.38795,0.501074
-7.74514,0.940243,0.919933,1,3,0,8.69584,0.272624
-7.6569,0.999497,0.919933,1,3,0,7.72551,0.307363
-7.63903,0.932339,0.919933,2,3,0,8.11131,0.338999
-7.63903,0.644585,0.919933,1,3,0,9.37976,0.338999
-7.74783,0.970757,0.919933,1,3,0,7.78967,0.271897
-10.186,0.565282,0.919933,1,3,0,10.8723,0.0958492
-9.88614,1,0.919933,1,1,0,10.4012,0.105568
-9.76417,1,0.919933,1,1,0,10.167,0.109898
-7.84336,0.967827,0.919933,1,3,0,9.69744,0.250616
-7.65105,0.995424,0.919933,2,3,0,7.87804,0.311743
-7.63956,0.95513,0.919933,2,3,0,7.94545,0.340543
-8.02017,0.912455,0.919933,1,3,0,8.07775,0.457452
-7.6696,1,0.919933,1,3,0,7.93603,0.36799
-7.74643,0.979704,0.919933,1,1,0,7.7469,0.398379
-7.88132,0.96362,0.919933,1,1,0,7.89104,0.431779
-7.86705,1,0.919933,1,1,0,7.93627,0.428771
-7.67385,0.971712,0.919933,2,3,0,8.06475,0.370293
-7.81144,0.974764,0.919933,1,3,0,7.81146,0.416079
-7.68776,0.97747,0.919933,1,3,0,7.96076,0.291476
-8.26782,0.891339,0.919933,1,3,0,8.32795,0.195617
-8.76939,0.919566,0.919933,1,1,0,8.79321,0.157185
-7.66441,0.95173,0.919933,1,3,0,9.13249,0.364961
-7.68064,0.972333,0.919933,2,3,0,7.84217,0.294522
-7.7426,0.985741,0.919933,1,1,0,7.74394,0.273319
-8.26499,0.917255,0.919933,1,3,0,8.28484,0.195888
-7.63945,0.996026,0.919933,1,3,0,8.29405,0.326478
-7.65953,0.995818,0.919933,2,3,0,7.67045,0.305628
-7.66388,0.998955,0.919933,1,1,0,7.66808,0.302982
-7.85659,0.96419,0.919933,1,3,0,7.8655,0.248158
-8.59913,0.946491,0.919933,2,3,0,8.60483,0.53204
-8.09937,1,0.919933,1,1,0,8.51179,0.470038
-7.80253,0.907432,0.919933,2,3,0,8.78022,0.413872
-7.9156,0.88152,0.919933,2,3,0,8.60623,0.238129
-7.85366,0.972796,0.919933,2,3,0,8.25502,0.248695
-7.68719,0.806405,0.919933,2,3,0,9.58034,0.376767
-7.87611,0.554119,0.919933,2,3,0,10.8447,0.244682
-7.86601,1,0.919933,1,1,0,7.9225,0.24646
-7.73674,0.967595,0.919933,1,3,0,8.13962,0.395336
-7.95684,0.601093,0.919933,2,3,0,10.4521,0.231848
-7.87738,1,0.919933,1,1,0,7.97461,0.244462
-7.70356,0.973109,0.919933,1,3,0,8.08926,0.383625
-7.90434,0.592143,0.919933,2,3,0,10.5032,0.239938
-8.31841,0.974056,0.919933,2,3,0,8.31978,0.190924
-8.97016,0.899774,0.919933,1,1,0,8.98317,0.145393
-8.388,1,0.919933,1,1,0,8.90322,0.184842
-7.98167,1,0.919933,1,1,0,8.31787,0.228297
-7.65686,0.998554,0.919933,1,3,0,7.94211,0.307387
